,total discharge (t)  end B
2020/4/2 9:10,2.523081
2020/4/2 9:20,2.428624
2020/4/2 9:30,1.465051
2020/4/2 9:40,0.6198121
2020/4/2 9:50,-0.2351648
2020/4/2 10:00,0
2020/4/2 10:10,-0.4044984
2020/4/2 10:20,-2.150259
2020/4/2 10:30,-3.069581
2020/4/2 10:40,-3.56243
2020/4/2 10:50,-4.123873
2020/4/2 11:00,-5.03917
2020/4/2 11:10,-6.231409
2020/4/2 11:20,-6.683634
2020/4/2 11:30,-7.138639
2020/4/2 11:40,-7.845657
2020/4/2 11:50,-8.339689
2020/4/2 12:00,-8.638448
2020/4/2 12:10,-9.056915
2020/4/2 12:20,-9.136637
2020/4/2 12:30,-9.423419
2020/4/2 12:40,-9.519035
2020/4/2 12:50,-9.27543
2020/4/2 13:00,-9.22404
2020/4/2 13:10,-9.110285
2020/4/2 13:20,-8.851633
2020/4/2 13:30,-8.555524
2020/4/2 13:40,-8.690147
2020/4/2 13:50,-8.180626
2020/4/2 14:00,-7.6053
2020/4/2 14:10,-6.857298
2020/4/2 14:20,-6.163963
2020/4/2 14:30,-5.626167
2020/4/2 14:40,-5.77263
2020/4/2 14:50,-5.414537
2020/4/2 15:00,-5.323121
2020/4/2 15:10,-4.856983
2020/4/2 15:20,-4.490112
2020/4/2 15:30,-4.194656
2020/4/2 15:40,-4.026264
2020/4/2 15:50,-3.455514
2020/4/2 16:00,-2.66702
2020/4/2 16:10,1.763369
2020/4/2 16:20,0.4561743
2020/4/2 16:30,0
2020/4/2 16:40,0
2020/4/2 16:50,0
2020/4/2 17:00,0
2020/4/2 17:10,-1.504925
2020/4/2 17:20,-2.890393
2020/4/2 17:30,-4.004289
2020/4/2 17:40,-4.261254
2020/4/2 17:50,-4.256495
2020/4/2 18:00,-3.358694
2020/4/2 18:10,1.723189
2020/4/2 18:20,0.2064006
2020/4/2 18:30,0.7990847
2020/4/2 18:40,2.847434
2020/4/2 18:50,3.95601
2020/4/2 19:00,4.50856
2020/4/2 19:10,5.271662
2020/4/2 19:20,5.843312
2020/4/2 19:30,6.287902
2020/4/2 19:40,6.689278
2020/4/2 19:50,7.282578
2020/4/2 20:00,7.943612
2020/4/2 20:10,8.475423
2020/4/2 20:20,9.002
2020/4/2 20:30,10.22194
2020/4/2 20:40,10.53611
2020/4/2 20:50,10.81828
2020/4/2 21:00,11.02496
2020/4/2 21:10,11.20323
2020/4/2 21:20,11.29109
2020/4/2 21:30,11.34486
2020/4/2 21:40,11.36696
2020/4/2 21:50,11.30132
2020/4/2 22:00,11.26394
2020/4/2 22:10,11.25805
2020/4/2 22:20,11.09953
2020/4/2 22:30,10.92795
2020/4/2 22:40,10.80362
2020/4/2 22:50,10.69148
2020/4/2 23:00,11.06455
2020/4/2 23:10,10.86884
2020/4/2 23:20,10.15202
2020/4/2 23:30,8.347708
2020/4/2 23:40,8.368167
2020/4/2 23:50,8.071539
2020/4/3 0:00,7.638136
